subject,base_A,base_B,n_err_A,n_err_B,both_wrong,jaccard_err,disagreement_rate,acc_A,acc_B,n_trials
1,fbcsp_rlda,riemann_ts_1band,48,62,20,0.2222222222222222,0.24305555555555555,0.8333333333333334,0.7847222222222222,288
1,fbcsp_rlda,riemann_multiband_ts_pca,48,58,22,0.2619047619047619,0.2152777777777778,0.8333333333333334,0.7986111111111112,288
1,fbcsp_rlda,riemann_multiband_ts_l1,48,54,21,0.25925925925925924,0.20833333333333334,0.8333333333333334,0.8125,288
1,fbcsp_rlda,eegnet,48,84,21,0.1891891891891892,0.3125,0.8333333333333334,0.7083333333333334,288
1,fbcsp_rlda,shallowconvnet,48,112,25,0.18518518518518517,0.3819444444444444,0.8333333333333334,0.6111111111111112,288
1,fbcsp_rlda,eegnet_transfer,48,90,23,0.2,0.3194444444444444,0.8333333333333334,0.6875,288
1,fbcsp_rlda,shallowconvnet_transfer,48,94,22,0.18333333333333332,0.3402777777777778,0.8333333333333334,0.6736111111111112,288
1,riemann_ts_1band,riemann_multiband_ts_pca,62,58,36,0.42857142857142855,0.16666666666666666,0.7847222222222222,0.7986111111111112,288
1,riemann_ts_1band,riemann_multiband_ts_l1,62,54,27,0.30337078651685395,0.2152777777777778,0.7847222222222222,0.8125,288
1,riemann_ts_1band,eegnet,62,84,34,0.30357142857142855,0.2708333333333333,0.7847222222222222,0.7083333333333334,288
1,riemann_ts_1band,shallowconvnet,62,112,34,0.24285714285714285,0.3680555555555556,0.7847222222222222,0.6111111111111112,288
1,riemann_ts_1band,eegnet_transfer,62,90,35,0.29914529914529914,0.2847222222222222,0.7847222222222222,0.6875,288
1,riemann_ts_1band,shallowconvnet_transfer,62,94,34,0.2786885245901639,0.3055555555555556,0.7847222222222222,0.6736111111111112,288
1,riemann_multiband_ts_pca,riemann_multiband_ts_l1,58,54,30,0.36585365853658536,0.18055555555555555,0.7986111111111112,0.8125,288
1,riemann_multiband_ts_pca,eegnet,58,84,32,0.2909090909090909,0.2708333333333333,0.7986111111111112,0.7083333333333334,288
1,riemann_multiband_ts_pca,shallowconvnet,58,112,31,0.22302158273381295,0.375,0.7986111111111112,0.6111111111111112,288
1,riemann_multiband_ts_pca,eegnet_transfer,58,90,35,0.30973451327433627,0.2708333333333333,0.7986111111111112,0.6875,288
1,riemann_multiband_ts_pca,shallowconvnet_transfer,58,94,27,0.216,0.3402777777777778,0.7986111111111112,0.6736111111111112,288
1,riemann_multiband_ts_l1,eegnet,54,84,26,0.23214285714285715,0.2986111111111111,0.8125,0.7083333333333334,288
1,riemann_multiband_ts_l1,shallowconvnet,54,112,25,0.1773049645390071,0.4027777777777778,0.8125,0.6111111111111112,288
1,riemann_multiband_ts_l1,eegnet_transfer,54,90,30,0.2631578947368421,0.2916666666666667,0.8125,0.6875,288
1,riemann_multiband_ts_l1,shallowconvnet_transfer,54,94,26,0.21311475409836064,0.3333333333333333,0.8125,0.6736111111111112,288
1,eegnet,shallowconvnet,84,112,59,0.4306569343065693,0.2708333333333333,0.7083333333333334,0.6111111111111112,288
1,eegnet,eegnet_transfer,84,90,63,0.5675675675675675,0.16666666666666666,0.7083333333333334,0.6875,288
1,eegnet,shallowconvnet_transfer,84,94,53,0.424,0.25,0.7083333333333334,0.6736111111111112,288
1,shallowconvnet,eegnet_transfer,112,90,51,0.33774834437086093,0.3472222222222222,0.6111111111111112,0.6875,288
1,shallowconvnet,shallowconvnet_transfer,112,94,58,0.3918918918918919,0.3125,0.6111111111111112,0.6736111111111112,288
1,eegnet_transfer,shallowconvnet_transfer,90,94,52,0.3939393939393939,0.2777777777777778,0.6875,0.6736111111111112,288
2,fbcsp_rlda,riemann_ts_1band,126,154,81,0.40703517587939697,0.4097222222222222,0.5625,0.4652777777777778,288
2,fbcsp_rlda,riemann_multiband_ts_pca,126,145,80,0.418848167539267,0.3854166666666667,0.5625,0.4965277777777778,288
2,fbcsp_rlda,riemann_multiband_ts_l1,126,157,87,0.44387755102040816,0.3784722222222222,0.5625,0.4548611111111111,288
2,fbcsp_rlda,eegnet,126,203,89,0.37083333333333335,0.5243055555555556,0.5625,0.2951388888888889,288
2,fbcsp_rlda,shallowconvnet,126,185,86,0.38222222222222224,0.4826388888888889,0.5625,0.3576388888888889,288
2,fbcsp_rlda,eegnet_transfer,126,202,94,0.4017094017094017,0.4861111111111111,0.5625,0.2986111111111111,288
2,fbcsp_rlda,shallowconvnet_transfer,126,187,79,0.33760683760683763,0.5381944444444444,0.5625,0.3506944444444444,288
2,riemann_ts_1band,riemann_multiband_ts_pca,154,145,110,0.582010582010582,0.2743055555555556,0.4652777777777778,0.4965277777777778,288
2,riemann_ts_1band,riemann_multiband_ts_l1,154,157,112,0.5628140703517588,0.3020833333333333,0.4652777777777778,0.4548611111111111,288
2,riemann_ts_1band,eegnet,154,203,111,0.45121951219512196,0.46875,0.4652777777777778,0.2951388888888889,288
2,riemann_ts_1band,shallowconvnet,154,185,102,0.43037974683544306,0.46875,0.4652777777777778,0.3576388888888889,288
2,riemann_ts_1band,eegnet_transfer,154,202,108,0.43548387096774194,0.4861111111111111,0.4652777777777778,0.2986111111111111,288
2,riemann_ts_1band,shallowconvnet_transfer,154,187,101,0.42083333333333334,0.4826388888888889,0.4652777777777778,0.3506944444444444,288
2,riemann_multiband_ts_pca,riemann_multiband_ts_l1,145,157,107,0.5487179487179488,0.3055555555555556,0.4965277777777778,0.4548611111111111,288
2,riemann_multiband_ts_pca,eegnet,145,203,103,0.4204081632653061,0.4930555555555556,0.4965277777777778,0.2951388888888889,288
2,riemann_multiband_ts_pca,shallowconvnet,145,185,106,0.4732142857142857,0.4097222222222222,0.4965277777777778,0.3576388888888889,288
2,riemann_multiband_ts_pca,eegnet_transfer,145,202,98,0.39357429718875503,0.5243055555555556,0.4965277777777778,0.2986111111111111,288
2,riemann_multiband_ts_pca,shallowconvnet_transfer,145,187,99,0.4248927038626609,0.4652777777777778,0.4965277777777778,0.3506944444444444,288
2,riemann_multiband_ts_l1,eegnet,157,203,112,0.45161290322580644,0.4722222222222222,0.4548611111111111,0.2951388888888889,288
2,riemann_multiband_ts_l1,shallowconvnet,157,185,110,0.47413793103448276,0.4236111111111111,0.4548611111111111,0.3576388888888889,288
2,riemann_multiband_ts_l1,eegnet_transfer,157,202,115,0.4713114754098361,0.4479166666666667,0.4548611111111111,0.2986111111111111,288
2,riemann_multiband_ts_l1,shallowconvnet_transfer,157,187,101,0.4156378600823045,0.4930555555555556,0.4548611111111111,0.3506944444444444,288
2,eegnet,shallowconvnet,203,185,130,0.5038759689922481,0.4444444444444444,0.2951388888888889,0.3576388888888889,288
2,eegnet,eegnet_transfer,203,202,146,0.5637065637065637,0.3923611111111111,0.2951388888888889,0.2986111111111111,288
2,eegnet,shallowconvnet_transfer,203,187,137,0.541501976284585,0.4027777777777778,0.2951388888888889,0.3506944444444444,288
2,shallowconvnet,eegnet_transfer,185,202,130,0.5058365758754864,0.4409722222222222,0.3576388888888889,0.2986111111111111,288
2,shallowconvnet,shallowconvnet_transfer,185,187,131,0.5435684647302904,0.3819444444444444,0.3576388888888889,0.3506944444444444,288
2,eegnet_transfer,shallowconvnet_transfer,202,187,139,0.556,0.3854166666666667,0.2986111111111111,0.3506944444444444,288
3,fbcsp_rlda,riemann_ts_1band,30,44,13,0.21311475409836064,0.16666666666666666,0.8958333333333334,0.8472222222222222,288
3,fbcsp_rlda,riemann_multiband_ts_pca,30,51,16,0.24615384615384617,0.1701388888888889,0.8958333333333334,0.8229166666666666,288
3,fbcsp_rlda,riemann_multiband_ts_l1,30,42,16,0.2857142857142857,0.1388888888888889,0.8958333333333334,0.8541666666666666,288
3,fbcsp_rlda,eegnet,30,63,16,0.2077922077922078,0.21180555555555555,0.8958333333333334,0.78125,288
3,fbcsp_rlda,shallowconvnet,30,72,14,0.1590909090909091,0.2569444444444444,0.8958333333333334,0.75,288
3,fbcsp_rlda,eegnet_transfer,30,57,11,0.14473684210526316,0.22569444444444445,0.8958333333333334,0.8020833333333334,288
3,fbcsp_rlda,shallowconvnet_transfer,30,64,16,0.20512820512820512,0.2152777777777778,0.8958333333333334,0.7777777777777778,288
3,riemann_ts_1band,riemann_multiband_ts_pca,44,51,33,0.532258064516129,0.10069444444444445,0.8472222222222222,0.8229166666666666,288
3,riemann_ts_1band,riemann_multiband_ts_l1,44,42,23,0.36507936507936506,0.1388888888888889,0.8472222222222222,0.8541666666666666,288
3,riemann_ts_1band,eegnet,44,63,22,0.25882352941176473,0.21875,0.8472222222222222,0.78125,288
3,riemann_ts_1band,shallowconvnet,44,72,24,0.2608695652173913,0.2361111111111111,0.8472222222222222,0.75,288
