base_A,base_B,acc_A,acc_B,n_err_A,n_err_B,both_wrong,jaccard_err,disagreement_rate
fbcsp_rlda,riemann_ts_1band,0.4965277777777778,0.3645833333333333,145,183,107,0.4841628959276018,0.3958333333333333
fbcsp_rlda,riemann_multiband_ts_pca,0.4965277777777778,0.4270833333333333,145,165,103,0.4975845410628019,0.3611111111111111
fbcsp_rlda,riemann_multiband_ts_l1,0.4965277777777778,0.3263888888888889,145,194,108,0.4675324675324675,0.4270833333333333
fbcsp_rlda,eegnet,0.4965277777777778,0.28125,145,207,100,0.3968253968253968,0.5277777777777778
fbcsp_rlda,shallowconvnet,0.4965277777777778,0.2847222222222222,145,206,109,0.45041322314049587,0.4618055555555556
fbcsp_rlda,eegnet_transfer,0.4965277777777778,0.2951388888888889,145,203,106,0.4380165289256198,0.4722222222222222
fbcsp_rlda,shallowconvnet_transfer,0.4965277777777778,0.3576388888888889,145,185,100,0.43478260869565216,0.4513888888888889
riemann_ts_1band,riemann_multiband_ts_pca,0.3645833333333333,0.4270833333333333,183,165,130,0.5963302752293578,0.3055555555555556
riemann_ts_1band,riemann_multiband_ts_l1,0.3645833333333333,0.3263888888888889,183,194,145,0.625,0.3020833333333333
riemann_ts_1band,eegnet,0.3645833333333333,0.28125,183,207,134,0.5234375,0.4236111111111111
riemann_ts_1band,shallowconvnet,0.3645833333333333,0.2847222222222222,183,206,134,0.5254901960784314,0.4201388888888889
riemann_ts_1band,eegnet_transfer,0.3645833333333333,0.2951388888888889,183,203,125,0.4789272030651341,0.4722222222222222
riemann_ts_1band,shallowconvnet_transfer,0.3645833333333333,0.3576388888888889,183,185,129,0.5397489539748954,0.3819444444444444
riemann_multiband_ts_pca,riemann_multiband_ts_l1,0.4270833333333333,0.3263888888888889,165,194,140,0.639269406392694,0.2743055555555556
riemann_multiband_ts_pca,eegnet,0.4270833333333333,0.28125,165,207,123,0.4939759036144578,0.4375
riemann_multiband_ts_pca,shallowconvnet,0.4270833333333333,0.2847222222222222,165,206,125,0.508130081300813,0.4201388888888889
riemann_multiband_ts_pca,eegnet_transfer,0.4270833333333333,0.2951388888888889,165,203,118,0.472,0.4583333333333333
riemann_multiband_ts_pca,shallowconvnet_transfer,0.4270833333333333,0.3576388888888889,165,185,115,0.48936170212765956,0.4166666666666667
riemann_multiband_ts_l1,eegnet,0.3263888888888889,0.28125,194,207,141,0.5423076923076923,0.4131944444444444
riemann_multiband_ts_l1,shallowconvnet,0.3263888888888889,0.2847222222222222,194,206,144,0.5625,0.3888888888888889
riemann_multiband_ts_l1,eegnet_transfer,0.3263888888888889,0.2951388888888889,194,203,140,0.5447470817120622,0.40625
riemann_multiband_ts_l1,shallowconvnet_transfer,0.3263888888888889,0.3576388888888889,194,185,131,0.5282258064516129,0.40625
eegnet,shallowconvnet,0.28125,0.2847222222222222,207,206,157,0.61328125,0.34375
eegnet,eegnet_transfer,0.28125,0.2951388888888889,207,203,151,0.583011583011583,0.375
eegnet,shallowconvnet_transfer,0.28125,0.3576388888888889,207,185,139,0.549407114624506,0.3958333333333333
shallowconvnet,eegnet_transfer,0.2847222222222222,0.2951388888888889,206,203,155,0.610236220472441,0.34375
shallowconvnet,shallowconvnet_transfer,0.2847222222222222,0.3576388888888889,206,185,147,0.6024590163934426,0.3368055555555556
eegnet_transfer,shallowconvnet_transfer,0.2951388888888889,0.3576388888888889,203,185,138,0.552,0.3888888888888889
