subject,cv_kappa,cv_acc,macro_f1,kappa_std,n_trials,elapsed_sec
1,0.6111111111111112,0.7083333333333334,0.6915702659122218,0.06950761380848627,288,49.91556119918823
2,0.06018518518518523,0.2951388888888889,0.2634619556301687,0.05470868620375718,288,18.130347728729248
3,0.7083333333333333,0.78125,0.7711003434109103,0.04126069587345572,288,85.60056447982788
4,0.19444444444444442,0.3958333333333333,0.39494028194275427,0.18008787017484346,288,30.68671989440918
5,0.04166666666666663,0.28125,0.27952968237507236,0.04666999117662832,288,27.810965061187744
6,0.10185185185185186,0.3263888888888889,0.3293792276389899,0.06620428878199194,288,30.06122922897339
7,0.4722222222222222,0.6041666666666666,0.6039388719087369,0.2371677859278225,288,61.885581731796265
8,0.6759259259259259,0.7569444444444444,0.7539479680256321,0.07143992214329868,288,66.84853863716125
9,0.712962962962963,0.7847222222222222,0.7811824804738844,0.058164205891073635,288,53.54623508453369
MEAN,0.39763374485596703,0.5482253086419753,0.5410056752575968,0.2945136300294591,2592,424.51109170913696
