subject,cv_kappa,cv_acc,macro_f1,kappa_std,n_trials,elapsed_sec
1,0.7222222222222222,0.7916666666666666,0.7920252570895775,0.04739774473425249,288,254.19718766212463
2,0.31018518518518523,0.4826388888888889,0.47808777797336144,0.06758821259451551,288,249.25135445594788
3,0.8703703703703703,0.9027777777777778,0.9027970334076425,0.02699977582969761,288,251.02246165275574
4,0.4305555555555556,0.5729166666666666,0.5721844780402938,0.08471841825776127,288,254.16224789619446
5,0.3055555555555556,0.4791666666666667,0.4788548488160689,0.04555089924681678,288,254.86603999137878
6,0.41666666666666663,0.5625,0.563029449314505,0.029628607110000097,288,251.6768364906311
7,0.7361111111111112,0.8020833333333334,0.8021402993916023,0.028467678615019573,288,251.1892409324646
8,0.8009259259259259,0.8506944444444444,0.8511727205657813,0.050033293841759294,288,258.4158432483673
9,0.6712962962962963,0.7534722222222222,0.7513425329174171,0.056770611585399505,288,248.48486614227295
MEAN,0.5848765432098766,0.6886574074074074,0.6879593775018056,0.21879592404476098,2592,2273.368617773056
