subject,cv_kappa,cv_acc,macro_f1,kappa_std,n_trials,elapsed_sec
1,0.7083333333333333,0.78125,0.7804745923817811,0.021424104814290884,288,199.1722252368927
2,0.3194444444444444,0.4895833333333333,0.48549787242824766,0.06412682489838678,288,207.51527070999146
3,0.8611111111111112,0.8958333333333334,0.895929195964588,0.0404894376998049,288,197.68111276626587
4,0.43518518518518523,0.5763888888888888,0.5765356034736441,0.09360777589050921,288,209.7376401424408
5,0.28240740740740744,0.4618055555555556,0.4606564451392038,0.04151593913113181,288,210.61096096038818
6,0.41666666666666663,0.5625,0.5619857680754891,0.02958631978698901,288,194.73406744003296
7,0.7453703703703703,0.8090277777777778,0.8090183960908307,0.02919536857748854,288,202.3208954334259
8,0.7731481481481481,0.8298611111111112,0.829630350754766,0.05230335200406146,288,198.96972012519836
9,0.6666666666666667,0.75,0.7497183469756665,0.05395738187484013,288,195.75751757621765
MEAN,0.5787037037037037,0.6840277777777778,0.6832718412538018,0.21556382827449658,2592,1816.6033563613892
