subject,cv_kappa,cv_acc,macro_f1,kappa_std,n_trials,elapsed_sec
1,0.7777777777777778,0.8333333333333334,0.8336859083285679,0.039485333137431265,288,562.7599904537201
2,0.41666666666666663,0.5625,0.5611633943464619,0.06428365077251368,288,549.9724414348602
3,0.8611111111111112,0.8958333333333334,0.8963857486804696,0.04762201124385142,288,548.4120755195618
4,0.4722222222222222,0.6041666666666666,0.6051102826964896,0.06260302453406374,288,555.8652141094208
5,0.3287037037037037,0.4965277777777778,0.49299231444560526,0.08045295518715181,288,549.2025685310364
6,0.4120370370370371,0.5590277777777778,0.5573393154038315,0.041020597051004894,288,555.6407189369202
7,0.7685185185185185,0.8263888888888888,0.8265297990209249,0.04552063904436446,288,560.2330644130707
8,0.837962962962963,0.8784722222222222,0.8786312659552096,0.06088047075014409,288,561.7893450260162
9,0.75,0.8125,0.8104723243669101,0.08194834279052948,288,546.55544090271
MEAN,0.625,0.71875,0.71803448369383,0.21229514857796297,2592,4990.53922867775
