subject,cv_kappa,cv_acc,macro_f1,kappa_std,n_trials,elapsed_sec
1,0.75,0.8125,0.8121019475782645,0.03506015489361914,288,161.13614749908447
2,0.27314814814814814,0.4548611111111111,0.45174500422178443,0.09297572285279176,288,145.74197506904602
3,0.8055555555555556,0.8541666666666666,0.8547832529191284,0.05646331653996001,288,190.0918209552765
4,0.4027777777777778,0.5520833333333334,0.5515039994622571,0.02953444569071993,288,170.18999671936035
5,0.10185185185185186,0.3263888888888889,0.326372310639552,0.06218744662899069,288,144.48035407066345
6,0.375,0.53125,0.5313903518431622,0.04201474425852084,288,144.44800901412964
7,0.7407407407407407,0.8055555555555556,0.8055473966237516,0.07214513427793438,288,147.35699939727783
8,0.7824074074074074,0.8368055555555556,0.8372202392436813,0.08463318481897104,288,202.54076385498047
9,0.7175925925925926,0.7881944444444444,0.7849929344638191,0.044242106221060395,288,164.9320673942566
MEAN,0.5498971193415638,0.6624228395061729,0.6617397152217112,0.2630527870699076,2592,1470.9761786460876
