subject,cv_kappa,cv_acc,macro_f1,kappa_std,n_trials,elapsed_sec
1,0.7314814814814814,0.7986111111111112,0.7977191051034064,0.05007254885361985,288,21.18959665298462
2,0.3287037037037037,0.4965277777777778,0.4943973368728731,0.05116296489833489,288,17.81104278564453
3,0.7638888888888888,0.8229166666666666,0.8201939941130716,0.052354791041553356,288,19.1503586769104
4,0.37962962962962965,0.5347222222222222,0.532485520897278,0.11387536065633166,288,17.69828772544861
5,0.23611111111111116,0.4270833333333333,0.42646406388642416,0.14679721606874352,288,17.970475912094116
6,0.37962962962962965,0.5347222222222222,0.533001448414047,0.05632355214535983,288,17.56392502784729
7,0.5925925925925926,0.6944444444444444,0.6946117524028483,0.060138939332060166,288,17.77253270149231
8,0.7361111111111112,0.8020833333333334,0.7993173086444572,0.07873560920507963,288,17.55363893508911
9,0.7268518518518519,0.7951388888888888,0.7942303416843831,0.07874894195397085,288,17.81224036216736
MEAN,0.5416666666666667,0.65625,0.65471343022431,0.20956426477326434,2592,164.57155895233154
