subject,cv_kappa,cv_acc,macro_f1,kappa_std,n_trials,elapsed_sec
1,0.4814814814814815,0.6111111111111112,0.6042697299791365,0.09952796554916918,288,40.648677825927734
2,0.1435185185185185,0.3576388888888889,0.3572033203270149,0.10068506923077937,288,45.25232911109924
3,0.6666666666666667,0.75,0.7457515330092623,0.06436950128878974,288,72.24446821212769
4,0.23611111111111116,0.4270833333333333,0.4252647336535051,0.09870059053178928,288,32.356459617614746
5,0.04629629629629628,0.2847222222222222,0.2750449307674914,0.11158362677000395,288,35.73180866241455
6,0.09722222222222221,0.3229166666666667,0.3107634485791685,0.07390089548943225,288,28.628111600875854
7,0.5925925925925926,0.6944444444444444,0.6938062582333113,0.10314713126248684,288,98.07510709762573
8,0.5740740740740741,0.6805555555555556,0.6771888917346083,0.06818427883581428,288,46.443000078201294
9,0.7361111111111112,0.8020833333333334,0.8018791653124486,0.0785350153164138,288,62.81710171699524
MEAN,0.397119341563786,0.5478395061728394,0.5434635568439942,0.2663322734787455,2592,462.21783113479614
