subject,cv_kappa,cv_acc,macro_f1,kappa_std,n_trials,elapsed_sec
1,0.5648148148148149,0.6736111111111112,0.6693204605170471,0.059754327556559676,288,227.91557335853577
2,0.1342592592592593,0.3506944444444444,0.3484645132314529,0.06904246771840958,288,143.92929363250732
3,0.7037037037037037,0.7777777777777778,0.7757316912779098,0.0884120320189612,288,162.04260182380676
4,0.2870370370370371,0.4652777777777778,0.46506304343734983,0.0730563310318431,288,174.8755431175232
5,0.1435185185185185,0.3576388888888889,0.35686889356463836,0.06331510815724269,288,154.4225413799286
6,0.2870370370370371,0.4652777777777778,0.4668684350765002,0.09701453168408126,288,206.87573885917664
7,0.3379629629629629,0.5034722222222222,0.5037367773039437,0.030322961378932613,288,203.62004351615906
8,0.6342592592592593,0.7256944444444444,0.72202303561908,0.07033537760883274,288,185.8164405822754
9,0.6990740740740741,0.7743055555555556,0.7709393130288322,0.05514527597502017,288,204.4949812889099
MEAN,0.4212962962962963,0.5659722222222222,0.5643351292285282,0.23060017417430134,2592,1664.0682604312897
