subject,cv_kappa_fbcsp,faz1_test_kappa,cv_kappa_final_ensemble,final_test_kappa,final_test_acc,faz4_test_kappa,fbcsp_best_params,riemann_best_params,elapsed_sec,delta_final,delta_faz1
1,0.7777777777777778,0.7453703703703703,0.8055555555555556,0.7777777777777778,0.8333333333333334,0.7916666666666666,"{'csp__n_components': 4, 'select__k': 40}",{'lr__C': 0.1},206.11353087425232,-0.02777777777777779,-0.03240740740740744
2,0.41666666666666663,0.3194444444444444,0.40740740740740744,0.34259259259259256,0.5069444444444444,0.33333333333333337,"{'csp__n_components': 6, 'select__k': 'all'}",{'lr__C': 0.1},181.0289182662964,-0.06481481481481488,-0.09722222222222221
3,0.8611111111111112,0.7777777777777778,0.8703703703703703,0.8333333333333334,0.875,0.8240740740740741,"{'csp__n_components': 6, 'select__k': 40}",{'lr__C': 1.0},222.81254076957703,-0.03703703703703698,-0.08333333333333337
4,0.4722222222222222,0.5416666666666667,0.5231481481481481,0.6203703703703703,0.7152777777777778,0.5925925925925926,"{'csp__n_components': 6, 'select__k': 40}",{'lr__C': 10.0},196.91730904579163,0.09722222222222221,0.06944444444444453
5,0.3287037037037037,0.18518518518518523,0.3379629629629629,0.24537037037037035,0.4340277777777778,0.24537037037037035,"{'csp__n_components': 6, 'select__k': 20}",{'lr__C': 1.0},184.02559900283813,-0.09259259259259256,-0.1435185185185185
6,0.4120370370370371,0.3564814814814815,0.4629629629629629,0.375,0.53125,0.37037037037037035,"{'csp__n_components': 4, 'select__k': 'all'}",{'lr__C': 0.1},186.29266476631165,-0.08796296296296291,-0.05555555555555558
7,0.7685185185185185,0.7175925925925926,0.7916666666666666,0.7962962962962963,0.8472222222222222,0.7638888888888888,"{'csp__n_components': 4, 'select__k': 40}",{'lr__C': 0.1},217.14816308021545,0.00462962962962965,-0.05092592592592593
8,0.837962962962963,0.75,0.8657407407407407,0.7777777777777778,0.8333333333333334,0.7777777777777778,"{'csp__n_components': 4, 'select__k': 'all'}",{'lr__C': 10.0},207.15264058113098,-0.08796296296296291,-0.08796296296296302
9,0.75,0.7222222222222222,0.8333333333333334,0.7546296296296297,0.8159722222222222,0.7962962962962963,"{'csp__n_components': 6, 'select__k': 40}",{'lr__C': 1.0},196.77796864509583,-0.07870370370370372,-0.02777777777777779
MEAN,0.625,0.5684156378600824,0.6553497942386831,0.6136831275720165,0.7102623456790124,0.61059670781893,,,1798.5729143619537,-0.04166666666666666,-0.0565843621399177
